"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"2006",0,0,0,0,0,0,0,0,0
"2007",0,0,0,973,126,0,1000,910,0
"2008",0,0,0,1000,10,0,761,13,0
"2009",0,0,0,998,0,0,996,0,0
"2010",0,0,0,888,0,0,991,81,0
"2011",0,0,0,0,0,0,0,0,0
"2012",0,0,0,0,0,0,0,0,0
"2013",0,0,0,0,0,0,0,0,0
"2014",0,0,0,0,0,0,793,0,0
"2015",0,0,0,998,0,0,615,0,0
"2016",443,0,0,931,124,0,968,685,0
"2017",0,0,0,980,0,0,941,0,0
"2018",762,0,0,1000,966,0,995,987,3
"2019",0,0,0,752,0,0,955,3,0
"2020",1000,1000,1000,1000,1000,994,1000,1000,942
